Size 100x100x100, Time: 1.44232e-05 s, Best: 1.09472e-05 s, Worst: 7.98016e-05 s, Performance: 138.666 GFLOP/s
Size 350x350x350, Time: 5.5052e-05 s, Best: 5.49e-05 s, Worst: 5.59353e-05 s, Performance: 1557.62 GFLOP/s
Size 600x600x600, Time: 0.000142312 s, Best: 0.000142149 s, Worst: 0.000143416 s, Performance: 3035.57 GFLOP/s
Size 850x850x850, Time: 0.000252013 s, Best: 0.000230724 s, Worst: 0.000358227 s, Performance: 4873.75 GFLOP/s
Size 1100x1100x1100, Time: 0.000541586 s, Best: 0.000521289 s, Worst: 0.000546719 s, Performance: 4915.19 GFLOP/s
Size 1350x1350x1350, Time: 0.000936147 s, Best: 0.000922229 s, Worst: 0.000976687 s, Performance: 5256.39 GFLOP/s
Size 1600x1600x1600, Time: 0.00144865 s, Best: 0.00142564 s, Worst: 0.00147534 s, Performance: 5654.92 GFLOP/s
Size 1850x1850x1850, Time: 0.00230032 s, Best: 0.00226451 s, Worst: 0.00234289 s, Performance: 5504.99 GFLOP/s
Size 2100x2100x2100, Time: 0.00342901 s, Best: 0.00333718 s, Worst: 0.00349471 s, Performance: 5401.55 GFLOP/s
Size 2350x2350x2350, Time: 0.00477878 s, Best: 0.00467852 s, Worst: 0.00484644 s, Performance: 5431.46 GFLOP/s
Size 2600x2600x2600, Time: 0.00645476 s, Best: 0.00638768 s, Worst: 0.00654416 s, Performance: 5445.9 GFLOP/s
Size 2850x2850x2850, Time: 0.00879799 s, Best: 0.0086314 s, Worst: 0.00895353 s, Performance: 5262.37 GFLOP/s
Size 3100x3100x3100, Time: 0.0113805 s, Best: 0.0112229 s, Worst: 0.0114584 s, Performance: 5235.45 GFLOP/s
Size 3350x3350x3350, Time: 0.0145163 s, Best: 0.0143854 s, Worst: 0.0146081 s, Performance: 5179.75 GFLOP/s
Size 3600x3600x3600, Time: 0.0179455 s, Best: 0.0178199 s, Worst: 0.0180312 s, Performance: 5199.75 GFLOP/s
Size 3850x3850x3850, Time: 0.0225963 s, Best: 0.0224477 s, Worst: 0.0227583 s, Performance: 5050.98 GFLOP/s
Size 4100x4100x4100, Time: 0.027399 s, Best: 0.0272431 s, Worst: 0.0276191 s, Performance: 5030.91 GFLOP/s
Size 4350x4350x4350, Time: 0.0323272 s, Best: 0.0320152 s, Worst: 0.032582 s, Performance: 5092.49 GFLOP/s
Size 4600x4600x4600, Time: 0.0378614 s, Best: 0.037612 s, Worst: 0.0381077 s, Performance: 5141.71 GFLOP/s
Size 4850x4850x4850, Time: 0.0458072 s, Best: 0.04554 s, Worst: 0.0459485 s, Performance: 4981.06 GFLOP/s
