File Name;Is_Background;Std Value
small_cubes_dataset\cube0_coords_0_0_0.tif;True;4.433.142.579.109.270
small_cubes_dataset\cube1_coords_0_0_100.tif;True;4.346.730.332.591.450
small_cubes_dataset\cube2_coords_0_0_200.tif;True;4.534.572.253.070.580
small_cubes_dataset\cube3_coords_0_0_300.tif;True;5.146.435.438.252.640
small_cubes_dataset\cube4_coords_0_0_400.tif;True;56.666.782.718.724.000
small_cubes_dataset\cube5_coords_0_0_500.tif;True;5.693.443.103.219.310
small_cubes_dataset\cube6_coords_0_0_600.tif;True;4.859.503.318.848.790
small_cubes_dataset\cube7_coords_0_0_700.tif;True;4.207.126.305.358.370
small_cubes_dataset\cube8_coords_0_0_800.tif;True;39.736.896.461.720.800
small_cubes_dataset\cube9_coords_0_0_900.tif;True;38.843.864.607.978.400
small_cubes_dataset\cube10_coords_0_0_1000.tif;True;39.951.974.829.317.500
small_cubes_dataset\cube11_coords_0_0_1100.tif;True;4.103.545.961.923.260
small_cubes_dataset\cube12_coords_0_100_0.tif;True;4.147.680.449.961.930
small_cubes_dataset\cube13_coords_0_100_100.tif;True;3.848.966.964.251.260
small_cubes_dataset\cube14_coords_0_100_200.tif;True;39.812.642.211.852.300
small_cubes_dataset\cube15_coords_0_100_300.tif;True;5.258.777.175.837.200
small_cubes_dataset\cube16_coords_0_100_400.tif;True;9.552.880.092.907.760
small_cubes_dataset\cube17_coords_0_100_500.tif;True;9.025.200.731.838.110
small_cubes_dataset\cube18_coords_0_100_600.tif;True;6.582.763.564.683.410
small_cubes_dataset\cube19_coords_0_100_700.tif;True;5.086.244.746.925.650
small_cubes_dataset\cube20_coords_0_100_800.tif;True;4.958.600.008.425.840
small_cubes_dataset\cube21_coords_0_100_900.tif;True;4.655.542.352.105.440
small_cubes_dataset\cube22_coords_0_100_1000.tif;True;4.504.945.551.375.120
small_cubes_dataset\cube23_coords_0_100_1100.tif;True;4.687.335.755.713.970
small_cubes_dataset\cube24_coords_0_200_0.tif;True;4.862.025.710.982.110
small_cubes_dataset\cube25_coords_0_200_100.tif;True;4.812.774.362.691.640
small_cubes_dataset\cube26_coords_0_200_200.tif;False;6.910.499.397.096.810
small_cubes_dataset\cube27_coords_0_200_300.tif;False;12.508.378.356.203.600
small_cubes_dataset\cube28_coords_0_200_400.tif;False;1.334.268.803.661.980
small_cubes_dataset\cube29_coords_0_200_500.tif;False;13.117.265.304.126.900
small_cubes_dataset\cube30_coords_0_200_600.tif;False;1.270.570.410.747.890
small_cubes_dataset\cube31_coords_0_200_700.tif;False;10.726.437.864.198.800
small_cubes_dataset\cube32_coords_0_200_800.tif;True;6.265.794.286.399.070
small_cubes_dataset\cube33_coords_0_200_900.tif;True;5.448.004.843.064.440
small_cubes_dataset\cube34_coords_0_200_1000.tif;True;5.449.935.141.788.320
small_cubes_dataset\cube35_coords_0_200_1100.tif;True;55.429.463.328.470.100
small_cubes_dataset\cube36_coords_0_300_0.tif;True;5.837.165.624.502.460
small_cubes_dataset\cube37_coords_0_300_100.tif;True;5.757.490.421.595.210
small_cubes_dataset\cube38_coords_0_300_200.tif;True;10.819.634.421.911.500
small_cubes_dataset\cube39_coords_0_300_300.tif;True;13.520.221.223.452.000
small_cubes_dataset\cube40_coords_0_300_400.tif;True;12.726.965.782.949.400
small_cubes_dataset\cube41_coords_0_300_500.tif;True;12.532.427.772.164.500
small_cubes_dataset\cube42_coords_0_300_600.tif;True;1.271.685.669.781.310
small_cubes_dataset\cube43_coords_0_300_700.tif;True;13.743.465.692.418.900
small_cubes_dataset\cube44_coords_0_300_800.tif;True;12.149.645.530.552.700
small_cubes_dataset\cube45_coords_0_300_900.tif;True;6.368.129.540.281.610
small_cubes_dataset\cube46_coords_0_300_1000.tif;True;6.017.880.240.388.900
small_cubes_dataset\cube47_coords_0_300_1100.tif;True;6.138.300.166.119.840
small_cubes_dataset\cube48_coords_0_400_0.tif;True;6.139.123.206.765.140
small_cubes_dataset\cube49_coords_0_400_100.tif;False;7.869.004.909.530.980
small_cubes_dataset\cube50_coords_0_400_200.tif;False;12.994.322.813.806.000
small_cubes_dataset\cube51_coords_0_400_300.tif;False;12.032.686.428.953.200
small_cubes_dataset\cube52_coords_0_400_400.tif;False;1.100.835.412.263.730
small_cubes_dataset\cube53_coords_0_400_500.tif;False;1.066.705.605.339.080
small_cubes_dataset\cube54_coords_0_400_600.tif;False;11.191.026.843.648.400
small_cubes_dataset\cube55_coords_0_400_700.tif;False;12.118.620.027.785.500
small_cubes_dataset\cube56_coords_0_400_800.tif;False;13.206.057.503.131.200
small_cubes_dataset\cube57_coords_0_400_900.tif;False;10.648.347.012.788
small_cubes_dataset\cube58_coords_0_400_1000.tif;True;6.655.188.030.661.530
small_cubes_dataset\cube59_coords_0_400_1100.tif;True;6.204.444.502.182.090
small_cubes_dataset\cube60_coords_0_500_0.tif;False;6.748.887.515.943.640
small_cubes_dataset\cube61_coords_0_500_100.tif;False;13.010.430.951.863.700
small_cubes_dataset\cube62_coords_0_500_200.tif;False;12.584.145.144.823.500
small_cubes_dataset\cube63_coords_0_500_300.tif;False;10.863.502.177.785.500
small_cubes_dataset\cube64_coords_0_500_400.tif;False;10.309.855.386.209.100
small_cubes_dataset\cube65_coords_0_500_500.tif;False;10.365.559.123.714.700
small_cubes_dataset\cube66_coords_0_500_600.tif;False;10.225.935.944.750.100
small_cubes_dataset\cube67_coords_0_500_700.tif;False;10.451.160.255.809.000
small_cubes_dataset\cube68_coords_0_500_800.tif;False;1.131.318.406.128.830
small_cubes_dataset\cube69_coords_0_500_900.tif;False;1.198.327.480.807.270
small_cubes_dataset\cube70_coords_0_500_1000.tif;False;7.059.250.755.537.720
small_cubes_dataset\cube71_coords_0_500_1100.tif;True;6.071.077.611.049.060
small_cubes_dataset\cube72_coords_0_600_0.tif;False;10.680.231.558.013.500
small_cubes_dataset\cube73_coords_0_600_100.tif;False;1.333.413.162.605.710
small_cubes_dataset\cube74_coords_0_600_200.tif;False;10.952.674.141.599.000
small_cubes_dataset\cube75_coords_0_600_300.tif;False;10.350.295.904.881.600
small_cubes_dataset\cube76_coords_0_600_400.tif;False;1.013.530.963.113.770
small_cubes_dataset\cube77_coords_0_600_500.tif;False;10.660.981.590.848.800
small_cubes_dataset\cube78_coords_0_600_600.tif;False;10.731.627.531.236.400
small_cubes_dataset\cube79_coords_0_600_700.tif;False;9.768.557.264.699.340
small_cubes_dataset\cube80_coords_0_600_800.tif;False;99.420.549.964.563
